FILE INFORMATION HEADING


@Begin
@Participants:		CHI: 8283_101416_07_cut.m4a; FATHER
@Filename:		8283_101416_07_cut.m4a
@Age of CHI:	 	XXX
@Date of Test: 	XXX
@Activities:		XXX
@Transcribed by:	GMRTrans; Checked by XX; Date:  XXX
%com:		TRANSCRIPTION BEGINS
%com:		***********************************







%com:		playing children’s voices in the background.
*FAT:		get the elephant. 
*FAT: 		no, you’re still [xxx] on the car?
*FAT:		no, the elephant. 
*FAT:		get the elephant.
*FAT:		alright.
%com:	rustling noises.
*FAT:		get the elephant. 
*FAT:		got it?
%com:	rustling noises.
*FAT:		oh let me see.
*FAT:		so now it’s horse?
*FAT:		horse?
*FAT:		the horse?
*FAT:		here you go.
%com:	rustling noises.
*FAT:		oh. 
*FAT:		grab it.
*FAT:		get the horse.
*FAT:		get the horse.
*FAT:		you want both the car and the horse?
%com:	rustling noises.
*FAT:		yeah.
*FAT:		oh no.
%com:	loud children’s voices in background.
*FAT:	oh sheep?
*FAT:	sheep? 
*FAT:	there you go.
%com:	loud children’s voices in background.
*FAT:	here grab the horse.
*FAT:	or do you want the car?
*FAT:	grab the car?
*FAT:	get the car?
*FAT:	get the car?
*FAT:	no?
*FAT:	no?
*FAT:	do you want the do you want the horse?
*FAT:	do you want the horse?
%com:	rustling noises.
*CHI:	no.
*FAT:	no not in your mouth.
*CHI:	[xxx]
*FAT:	okay.
%com: 	father makes swishing sound effect.
%com:	rustling noises.
%com:	loud children’s voices in background.
*FAT:	no not the wire.
%com: 	father laughs.
*FAT:	that’s not part of the toys.
*FAT:	there we go.
*FAT:	see?
%com:	loud children’s voices in background.
%com:	father sniffles. 
*FAT:	and one there yeah.
*FAT:	yeah.
*FAT:	grab it.
*FAT:	now pull it.
*FAT:	almost got him.
*FAT:	get him.
*FAT:	bring him.
%com:	loud children’s voices in background.
*FAT:	bring him closer.
*FAT:	you’re like nope.
*FAT:	no?
*FAT:	want the horse?
%com:	father makes swishing sound effect.
*FAT:	grab the horse. 
%com:	rustling noises.
*FAT:	go ahead get it.
*FAT:	grab the toy.
*FAT:	grab the elephant.
*FAT:	grab it. 
%com:	loud children’s voices in background.
*FAT:	nope?
%com:	loud children’s voices in background.
*FAT:	go ahead. 
*FAT:	go ahead.
*FAT:	no?
*FAT:	grab it.
*FAT:	grab the horse.
*FAT:	alright.
*FAT:	horse.
*FAT:	horsey.
*FAT:	grab the car?
*FAT:	you want to grab the car next?
%com:	loud children’s voices in background.
*FAT:	almost.
*FAT:	no?
%com:	child fusses.
*FAT:	no no no you don’t get to crawl around.
*FAT:	grab the toys.
*FAT:	grab the elephant.
%com:	father groans.
%com:	rustling noises.
%com: 	tapping noises.
*CHI:	[xxx]
*FAT:	you can get one. 
*FAT:	alright sit down.
*FAT:	here you go.
*FAT:	here.
*FAT:	sheep?
*FAT:	hmmm?
*CHI:	[xxx]
*FAT:	yeah?
%com:	loud children’s voices in background.
%com:	father laughs.
*FAT:	no those are my shoelaces.
*FAT:	you got to play with the toys.
%com:	loud children’s voices in background.
*FAT:	no. 
%com:	father groans.
*FAT:	come here.
*FAT:	come here.
*CHI:	[xxx] 
*FAT:	want the elephant?
*FAT:	what? 
%com:	rustling noises.
*FAT:	no don’t put it in your mouth. 
*FAT:	just play with it. 
*FAT:	alright grab it. 
*FAT:	grab it.
*FAT:	or the car.
%com:	rustling noises.
*FAT:	which one you grabbing?
*FAT:	the car?
%com:	loud children’s voices in background.
*FAT:	or you just want to get away? 
*FAT:	you’re done?
%com:	father laughs.
*FAT:	where you going?
*FAT:	where you going?
%com:	rustling noises.
*CHI:	[xxx]
*FAT:	huh?
*FAT:	get it.
*CHI:	[xxx]
%com:	bell rings.
 















Verbatim Project Speaker tags:
*MOT:	blah blah
*CHI:		[xxx]
*FAT:		blah blah
*CHI:		uhoh mhm and uhuh

Verbatim Project comments:
%com:			child cries.
%com:			child starts crying.
%com:			child fusses.
%com:			child starts fussing.
%com:			overlapping speech, mother and child.
%com:		mother is singing
%com:		mother laughs.
%com: 		mother gasps. 
%com:		father laughs.
%com: 		loud tapping noises.
%com:		children playing in background.
%com:		microphone rubs.

