FILE INFORMATION HEADING


@Begin
@Participants:		CHI: 8283_120416_01_cut; FATHER
@Filename:		8283_120416_01_cut
@Age of CHI:	 	XXX
@Date of Test: 	XXX
@Activities:		XXX
@Transcribed by:	GMRTrans; Checked by XX; Date:  XXX
%com:		TRANSCRIPTION BEGINS
%com:		***********************************







*FAT:		a horsey?
*FAT:		how does a horsey go?
*FAT:		look.
*FAT:		there's another horsey.
%com:		child making neighing sound.
*FAT:		neigh.
*FAT:		 right.
*CHI:		[xxx]
*FAT:		there's another horsey.
*FAT:		look at his look at his mane.
*FAT:		it's brown.
*FAT:		you want to put the.
*FAT:		oh where did candle go?
*FAT:		[xxx] this is the candle we got outside.
*FAT:		yeah.
*FAT:		you want to.
*FAT:		what are you playing with?
*FAT:		the red car?
*CHI:		[xxx]
*FAT:		ah the nieeeegh right.
*FAT:		the horsey goes neigh.
%com:		child making neighing sound.
*FAT:		this is another horsey.
*CHI:		[xxx]
*FAT:		yeah.
*CHI:		[xxx]
*FAT:		look.
*CHI:		[xxx]
*FAT:		look look what this car has.
*FAT:		it has a door.
*FAT:		and a hood.
*FAT:		it's like our car.
*FAT:		this is where Abba sits.
*CHI:		[xxx]
*FAT:		yeah.
*FAT:		how does the car go?
*CHI:		[xxx]
*FAT:		a car goes neigh?
*CHI:		[xxx]
*FAT:		oh a horsey goes neigh.
*CHI:		[xxx]
%com:		child vocalizing over father.
*FAT:		a horsey.
*FAT:		did we see a horsey outside?
*FAT:	 	where's the other where's the other –
*CHI:		Abba.
*FAT:		– hook?
*FAT:		oh okay.
*CHI:		[xxx]
*FAT:		it's a blue car.
*FAT:		it's a little car.
*FAT:		this is a big car.
*CHI:		[xxx]
*FAT:		yeah.
*FAT:		for me?
*FAT:		oh look what we got.
*CHI:		byebyeeeee.
*FAT:		byebye.
*FAT:		byebye car.
*CHI:		[xxx]
*FAT:		look.
*FAT:		you want to drive the car?
*FAT:		you can drive this car.
*CHI:		[xxx]
*FAT:		oh we're going to drive the beepbeep.
*CHI:		[xxx]
*FAT:		beepbeep.
*CHI:		look.
*FAT:		look.
*FAT:		what does this do?
*CHI:		[xxx]
*CHI:		[xxx]
%com:		father gasps.
*FAT:		the car and –
*CHI:		dada.
*FAT:		– the horsey.
*CHI:		dada.
*FAT:		we've got two horseys.
*CHI:		dada.
*FAT:		and the blue car.
*CHI:		dada.
*FAT:		oh there it is.
*CHI:		dada.
*FAT:		[xxx]
*FAT:		okay.
*FAT:		look at this.
*FAT:		you can put the circle around the blue car.
%com:		child making neighing sound.
*FAT:		neigh.
*FAT:		right.
*CHI:		[xxx]
*FAT:		hey you boogie face.
%com:		child making roaring noise.
%com:		father making roaring noise.
*FAT:		you want to put it on my arm?
*FAT:		on your head?
*FAT:		it’s a it's a hat.
*FAT:		what if I put it on my head?
*FAT:		look.
*CHI:		[xxx]
*FAT:		another one?
*FAT:		[xxx] head.
%com:		father gasping.
*FAT:		wow.
*FAT:		it's a green hat.
*FAT:		I put it on my ears.
*FAT:		like this.
%com:		child giggles.
*FAT:		yeah.
*CHI:		[xxx]
*FAT:		and this too.
*FAT:		put it on my head.
*FAT:		or on my nose.
*CHI:		[xxx]
*FAT:		and put it on your head.
%com:		child giggles.
*CHI:		[xxx]
*FAT:		and neigh.
*CHI:		[xxx]
*FAT:		a horsey.
*FAT:		right.
*CHI:		[xxx]
*FAT:		[xxx]





