sent,short_sent,category,reverse_code,instrument
A strong bond with mom is important if a baby is going to have good relationships in the future.,strong bond with mom,socio_emotional,0,attitudes
Adults should have strict rules about what children can and cannot do.,strict rules good,authoritarian,0,attitudes
"Although a lot about babies and adults is different, they still learn in basically the same way.",learning similar,behaviorist,0,attitudes
Babies are born as a blank slate and their personalities are formed through their experiences.,babies blank slate,behaviorist,1,attitudes
"Babies learn by looking for things that feel and taste good (e.g., by putting things in their mouths).",baby pleasure,freudian,0,attitudes
"Babies learn by noticing patterns around them (e.g., mom always looks for her phone after the ringing noise).",baby pattern recognition,behaviorist,0,attitudes
"Babies learn mostly from their own senses (e.g., touch, smell, taste) and physical exploration of the world.",learning from senses,freudian,0,attitudes
"Children can learn a lot just by playing, especially when they are allowed to choose what to play with.",learn from play,rationalist,0,attitudes
Children can learn about abstract concepts like good behavior from an early age.,early abstraction,rationalist,0,attitudes
"Children learn best from examples: if they are shown why an idea is right, or why a behavior is good, they can learn without rewards or punishments.",examples,rationalist,0,attitudes
Children learn best when adults always reward them for correct answers or behaviors.,reward is good,behaviorist,0,attitudes
Children learn the most when adults talk to them about something they are already interested in.,follow in good,rationalist,0,attitudes
Children learn the most when they are allowed to play unsupervised by adults.,unsupervised play,permissive,1,attitudes
"Children of different ages learn in very different ways. For example, preschoolers learn differently from babies and toddlers.",stage theory,piagetian,1,attitudes
Children who have behavior problems often don't get enough love at home.,behavior problems no love,socio_emotional,1,attitudes
"Children's development happens in stages; at first they learn about simple things they can see, and then later on they learn about abstract things, such as numbers.",piaget,piagetian,1,attitudes
"Holding, cradling, and sleeping together with babies is important for forming strong bonds with parents.",physical maternal affection important,socio_emotional,0,attitudes
"If young children do not learn to control their behavior, they will not be able to learn or socialize normally later on.",behavior control,freudian,1,attitudes
"It is best not to have many rules for children, so that they can establish independence.",best have few rules,permissive,0,attitudes
"It is important for children to learn to respect adults, such as parents and teachers.",respect adults,authoritarian,0,attitudes
It's more important for parents to provide a safe and loving environment than to make strict rules.,safe and loving environment,socio_emotional,0,attitudes
"Newborn babies can see and hear and have some simple physical reflexes (e.g., blinking and sucking), but have almost no other knowledge.",newborn ignorance,piagetian,1,attitudes
Parents should always explain the reasons for their rules to children.,reasons for rules,authoritative,0,attitudes
The best way to encourage children to behave well is to punish them when they misbehave.,punish misbehavior,authoritarian,1,attitudes
"The most important thing for young children to learn is to control their impulses (e.g., waiting when told to wait).",impulse control,freudian,1,attitudes
The primary role of parents is to act as supportive friends to their children.,parents should be supportive,permissive,0,attitudes
"When planning family activities, parents should think about what their child likes to do.",child preferences,authoritative,0,attitudes
2-year-olds should do their best to listen quietly when you read to them.,listen quietly,reading,1,knowledge
Adults cannot have conversations with babies who can't talk yet.,no baby conversation,learn_talk,1,knowledge
Babies should be able to see your face when you talk to them.,joint attention,learn_talk,0,knowledge
"By the age of 3, children answer questions just as quickly as adults.",kids quick on questions,learn_talk,1,knowledge
Children are learning about math when they learn the names of different shapes (like triangles and squares).,shape talk,math,0,knowledge
Children can learn from looking at books by themselves before they know how to read.,books before reading,reading,0,knowledge
Children learn fewer words when adults talk with a warm tone.,no learning from warmth,learn_talk,1,knowledge
Children learn fewer words when they don't pay attention to what you're saying.,attention important,learn_talk,0,knowledge
Children should be told what to do instead of given choices.,tell kids what to do,start_school,1,knowledge
How many words 3-year-olds know can predict how well they might do in kindergarten.,words predict academic,start_school,0,knowledge
How many words 3-year-olds know cannot predict how many new words they will learn during their lifetime.,no prediction,start_school,1,knowledge
It's best for children to wait until they are old enough for school to learn about math.,school math,math,1,knowledge
It's the school's responsibility to make sure children learn how to read and do math.,school responsibility,start_school,1,knowledge
Parents need to know a lot of big words to teach children how to talk.,parents need big words,learn_talk,1,knowledge
Parents should not talk back when their toddlers use 'baby-talk' (like when they say 'ba-ba' instead of 'teddy bear').,no babytalk,learn_talk,1,knowledge
Parents who have trouble reading can help their children learn how to read books.,parents reading trouble,reading,0,knowledge
Pointing to things is one way that babies learn how to talk.,pointing is good,learn_talk,0,knowledge
Saying numbers and counting are the only ways you can help toddlers get ready to learn math in school.,counting toddlers,math,1,knowledge
Some books should be kept where babies can reach them.,books for babies,reading,0,knowledge
Talking about the difference between tall and short teaches toddlers about math.,short tall,math,0,knowledge
Talking to 3-year-olds can help them do better in school.,talk school,start_school,0,knowledge
Talking to children cannot make them smarter.,no talk IQ connection,learn_talk,1,knowledge
The more television children under 2 watch by themselves the more words they learn.,tv good for words,tv,1,knowledge
Toddlers need to learn how to count before they can understand math.,counting before math,math,1,knowledge
Using baby-talk (i.e. talking in a sing-song voice) helps babies learn how to talk.,babytalk,learn_talk,0,knowledge
Watching educational TV is good for children of all ages.,educational tv good,tv,1,knowledge
You cannot teach children anything new by reading them the same book over and over.,no repetition,reading,1,knowledge
