sent,category
How often do you read to your child?,EL
How often do you practice numbers or letters with your child?,EL
"How often do you share facts or observations about the world when you are doing other tasks (e.g., did you know butter comes from cows? when you are shopping at the grocery store)?",EL
"How often does your child watch educational programming (e.g., shows like Sesame Street) or play with educational apps (e.g., apps designed to teach numbers, colors, shapes, etc.) on a tablet or mobile device?",EL
"How often do you and your child talk about feelings (e.g., when he/she is sad/angry)?",AA
How often do you and your child spend time cuddling?,AA
How often does your child sleep in the same bed as you?,AA
How often do you hug or kiss your child?,AA
How often do you talk sternly to your child when he/she does something you dont want?,RR
How often do you give your child time out or other punishments for acting out?,RR
"How often do you talk about setting limits with your child (e.g., only 10 minutes of screen time or no hitting)?",RR
How often does your child help or try to help with chores or tasks (including cleaning up his/her toys)?,RR
