sent,ques
"It is very important that children learn to respect adults, such as parents and teachers.",Q1
"It is very important for young children to do as they are told, for example, waiting when they are told to wait.",Q8
Children should be grateful to their parents.,Q20
"It is very important that there are consequences when a child breaks a rule, big or small.",Q15
It is okay if young children boss around their caregivers.,Q17
It is okay if children see adults as equals rather than viewing them with respect.,Q24
"Young children should be allowed to make their own decisions, like what to play with and when to eat.",Q10
Parents do not need to worry if their child misbehaves a lot.,Q3
Children should be comforted when they are scared or unhappy.,Q18
Its important for parents to help children learn to deal with their emotions.,Q14
Parents should pay attention to what their child likes and dislikes.,Q5
A child who has close bonds with his or her parents will have better relationships later on in life.,Q12
Children who receive too much attention from their parents become spoiled.,Q23
"Too much affection, such as hugging and kissing, can make a child weak.",Q16
Children and parents do not need to feel emotionally close as long as children are kept safe.,Q11
"Parents should not try to calm a child who is upset, it is better to let children calm themselves.",Q4
It is good to let children explore and experiment.,Q7
Parents can help babies learn language by talking to them.,Q19
"Parents can prepare young children to succeed in school by teaching them things, such as shapes and numbers.",Q22
Babies can learn a lot just by playing.,Q21
It is not helpful to explain the reasons for rules to young children because they wont understand.,Q6
Children dont need to learn about numbers and math until they go to school.,Q9
Reading books to children is not helpful if they have not yet learned to speak.,Q13
Babies cant learn about the world until they learn to speak.,Q2
